term,new_term,file
"domains","workloads","/app/src/content/docs/en/pages/main-menu/release-notes/release-notes.mdx"
"domains","workloads","/app/src/content/docs/en/pages/main-menu/work-with-domains/create-certificate.mdx"
"domains","workloads","/app/src/content/docs/en/pages/main-menu/work-with-domains/point-domain.mdx"
"domains","workloads","/app/src/content/docs/en/pages/main-menu/work-with-domains/migrate-ns.mdx"
"domains","workloads","/app/src/content/docs/en/pages/main-menu/work-with-domains/configure-domains.mdx"
"domains","workloads","/app/src/content/docs/en/pages/observe-journey/data-stream/advanced-configurations/configure-sampling.mdx"
"domains","workloads","/app/src/content/docs/en/pages/observe-journey/data-stream/integrations/connector-standard-http-https-post.mdx"
"domains","workloads","/app/src/content/docs/en/pages/observe-journey/data-stream/edit-stream/configure-main-settings.mdx"
"domains","workloads","/app/src/content/docs/en/pages/observe-journey/data-stream/edit-stream/set-payload.mdx"
"domains","workloads","/app/src/content/docs/en/pages/observe-journey/stream-data.mdx"
"domains","workloads","/app/src/content/docs/en/pages/observe-journey/analyze-logs.mdx"
"domains","workloads","/app/src/content/docs/en/pages/observe-journey/monitor-applications.mdx"
"domains","workloads","/app/src/content/docs/en/pages/architectures/api-gateways/api-gateways-security.mdx"
"domains","workloads","/app/src/content/docs/en/pages/architectures/edge-firewall/online-fraud-prevention.mdx"
"domains","workloads","/app/src/content/docs/en/pages/architectures/edge-firewall/waap-architecture.mdx"
"domains","workloads","/app/src/content/docs/en/pages/architectures/security-automation/security-automation.mdx"
"domains","workloads","/app/src/content/docs/en/pages/architectures/edge-application/application-acceleration.mdx"
"domains","workloads","/app/src/content/docs/en/pages/architectures/edge-application/serverless-apps.mdx"
"domains","workloads","/app/src/content/docs/en/pages/architectures/edge-application/image-processing.mdx"
"domains","workloads","/app/src/content/docs/en/pages/architectures/edge-application/application-modernization.mdx"
"domains","workloads","/app/src/content/docs/en/pages/architectures/compliance/compliance-architecture.mdx"
"domains","workloads","/app/src/content/docs/en/pages/architectures/bot-management/bot-management-architecture.mdx"
"domains","workloads","/app/src/content/docs/en/pages/agreements/tos/15-may-2019/2021-01-14-index.mdx"
"domains","workloads","/app/src/content/docs/en/pages/agreements/tos/9-july-2025/terms-of-service.mdx"
"domains","workloads","/app/src/content/docs/en/pages/agreements/tos/18-september-2023/18-september-2023.mdx"
"domains","workloads","/app/src/content/docs/en/pages/agreements/tos/29-august-2024/29-august-2024.mdx"
"domains","workloads","/app/src/content/docs/en/pages/agreements/tos/15-march-2024/15-march-2024.mdx"
"domains","workloads","/app/src/content/docs/en/pages/agreements/tos/30-march-2023/30-march.2023.mdx"
"domains","workloads","/app/src/content/docs/en/pages/agreements/tos/24-may-2024/24-may-2024.mdx"
"domains","workloads","/app/src/content/docs/en/pages/agreements/tos/23-september-2022/2022-09-23-index.mdx"
"domains","workloads","/app/src/content/docs/en/pages/agreements/tos/3-march-2023/2023-03-30-.mdx"
"domains","workloads","/app/src/content/docs/en/pages/agreements/tos/10-november-2020/2022-05-10-index.mdx"
"domains","workloads","/app/src/content/docs/en/pages/agreements/tos/8-november-2024/2024-11-08-index.mdx"
"domains","workloads","/app/src/content/docs/en/pages/agreements/tos/18-august-2020/2021-01-14-index.mdx"
"domains","workloads","/app/src/content/docs/en/pages/agreements/tos/terms-of-service.mdx"
"domains","workloads","/app/src/content/docs/en/pages/agreements/tos/21-february-2024/21-february-2024.mdx"
"domains","workloads","/app/src/content/docs/en/pages/agreements/tos/10-november-2016/2021-01-14-index.mdx"
"domains","workloads","/app/src/content/docs/en/homes/secure-home.mdx"
"error responses","custom pages","/app/src/content/docs/pt-br/pages/build-jornada/edite-edge-app/error-responses.mdx"
"error responses","custom pages","/app/src/content/docs/pt-br/pages/menu-principal/referencia/build/edge-application/edge-app-primeiros-passos.mdx"
"error responses","custom pages","/app/src/content/docs/pt-br/pages/menu-principal/referencia/build/edge-application/edge-application.mdx"
"error responses","custom pages","/app/src/content/docs/pt-br/pages/menu-principal/referencia/build/edge-application/error-responses.mdx"
"error responses","custom pages","/app/src/content/docs/pt-br/pages/menu-principal/referencia/observe/data-streaming/data-streaming.mdx"
"error responses","custom pages","/app/src/content/docs/pt-br/pages/changelog/anos-passados/anos-passados-changelog.mdx"
"error responses","custom pages","/app/src/content/docs/pt-br/pages/guias/edge-application/ea-customize-error-responses.mdx"
"error responses","custom pages","/app/src/content/docs/en/pages/guides/edge-application/ea-customize-error-responses.mdx"
"error responses","custom pages","/app/src/content/docs/en/pages/changelog/previous-years/previous-years-changelog.mdx"
"error responses","custom pages","/app/src/content/docs/en/pages/store-journey/storage/use-bucket-as-origin.mdx"
"error responses","custom pages","/app/src/content/docs/en/pages/build-journey/edit-edge-app/edit-error-responses/error-responses.mdx"
"error responses","custom pages","/app/src/content/docs/en/pages/devtools/api-graphql/limits/limits.mdx"
"error responses","custom pages","/app/src/content/docs/en/pages/devtools/api-graphql/error-responses/error-responses.mdx"
"error responses","custom pages","/app/src/content/docs/en/pages/main-menu/reference/build/edge-application/first-steps.mdx"
"error responses","custom pages","/app/src/content/docs/en/pages/main-menu/reference/build/edge-application/edge-application.mdx"
"error responses","custom pages","/app/src/content/docs/en/pages/main-menu/reference/build/edge-application/error-responses.mdx"
"error responses","custom pages","/app/src/content/docs/en/pages/main-menu/reference/services/integration-services/managed-configurations.mdx"
"error responses","custom pages","/app/src/content/docs/en/pages/main-menu/reference/observe/data-stream/data-stream.mdx"
"error responses","custom pages","/app/src/content/docs/en/homes/graphql-home.mdx"
"origins","edge connector","/app/src/content/docs/pt-br/pages/build-jornada/contrua-uma-aplicacao/crie-uma-aplicacao.mdx"
"origins","edge connector","/app/src/content/docs/pt-br/pages/build-jornada/edite-edge-app/origins.mdx"
"origins","edge connector","/app/src/content/docs/pt-br/pages/build-jornada/configuracoes-avancadas/multiple-origins.mdx"
"origins","edge connector","/app/src/content/docs/pt-br/pages/menu-principal/recursos-adicionais/migrar-para-a-azion/migrar-para-a-azion.mdx"
"origins","edge connector","/app/src/content/docs/pt-br/pages/menu-principal/referencia/store/edge-storage/index.mdx"
"origins","edge connector","/app/src/content/docs/pt-br/pages/menu-principal/referencia/build/edge-application/rules-engine-edge-app.mdx"
"origins","edge connector","/app/src/content/docs/pt-br/pages/menu-principal/referencia/build/edge-application/edge-app-primeiros-passos.mdx"
"origins","edge connector","/app/src/content/docs/pt-br/pages/menu-principal/referencia/build/edge-application/load-balancer.mdx"
"origins","edge connector","/app/src/content/docs/pt-br/pages/menu-principal/referencia/build/edge-application/origins.mdx"
"origins","edge connector","/app/src/content/docs/pt-br/pages/menu-principal/referencia/build/edge-application/edge-application.mdx"
"origins","edge connector","/app/src/content/docs/pt-br/pages/menu-principal/referencia/build/edge-application/error-responses.mdx"
"origins","edge connector","/app/src/content/docs/pt-br/pages/menu-principal/release-notes/release-notes.mdx"
